year,Country_Name,Country_Code,Indicator Name,Indicator Code,GDP,GDP_capita,refugee,value1,value2
2013,Turkey,TUR,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,1392200000000,18560.10706,585601,0.0000004206,31.5515960176
2013,"Yemen, Rep.",YEM,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,93536033748,3663.307829,54,0.0000000006,0.0147407760
2014,United Arab Emirates,ARE,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,586625000000,64562.62007,28,0.0000000000,0.0004336875
2014,"Egypt, Arab Rep.",EGY,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,899898000000,10045.77995,138381,0.0000001538,13.7750379452
2014,Iraq,IRQ,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,500073000000,14364.83649,234196,0.0000004683,16.3034226086
2014,Jordan,JOR,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,75955822381,11496.26493,623112,0.0000082036,54.2012561292
2014,Kuwait,KWT,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,262261000000,69877.98654,15,0.0000000001,0.0002146599
2014,Lebanon,LBN,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,75746199225,16659.32796,1147494,0.0000151492,68.8799693934
2014,Libya,LBY,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,93133609477,14879.98843,18653,0.0000002003,1.2535628027
2014,Morocco,MAR,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,246420000000,7146.28198,647,0.0000000026,0.0905365898
2014,Oman,OMN,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,156118000000,36854.53292,7,0.0000000000,0.0001899359
2014,Qatar,QAT,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,291453000000,134182.4147,14,0.0000000000,0.0001043356
2014,Saudi Arabia,SAU,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,1530030000000,49536.98788,18,0.0000000000,0.0003633648
2014,Tunisia,TUN,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,119971000000,10909.84197,558,0.0000000047,0.0511464787
2014,Turkey,TUR,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,1432770000000,18869.00693,1557899,0.0000010873,82.5639105322
2014,"Yemen, Rep.",YEM,"GDP, PPP (constant 2011 international $)",NY.GDP.MKTP.PP.KD,93536033748,3663.307829,2276,0.0000000243,0.6212964092
