div,nyt,gd,sum
IS,6496,749,7245
IR,1208,335,1543
HZB,319,56,375
US,1978,2,1980
RS,2894,334,3228
ASS,4009,635,4644
FSA,1001,119,1120
IC,45,0,45
YPG,972,95,1067
UN,1952,477,2429
