,date,event,group,value
166,2011-08-01,shelling,YPG,0
167,2011-08-01,battle,YPG,0
168,2011-08-01,chemical,HZB,0
169,2011-08-01,air_strike,HZB,0
170,2011-08-01,barrel_bomb,HZB,0
171,2011-08-01,massacre,HZB,0
172,2011-08-01,shelling,HZB,0
173,2011-08-01,battle,HZB,0
174,2011-08-01,chemical,ASS,0
175,2011-08-01,air_strike,ASS,0
176,2011-08-01,barrel_bomb,ASS,0
177,2011-08-01,massacre,ASS,1
178,2011-08-01,shelling,ASS,1
179,2011-08-01,battle,ASS,1
180,2011-09-01,chemical,IS,0
181,2011-09-01,air_strike,IS,0
182,2011-09-01,barrel_bomb,IS,0
183,2011-09-01,massacre,IS,0
184,2011-09-01,shelling,IS,0
185,2011-09-01,battle,IS,0
186,2011-09-01,chemical,IC,0
187,2011-09-01,air_strike,IC,0
188,2011-09-01,barrel_bomb,IC,0
189,2011-09-01,massacre,IC,0
190,2011-09-01,shelling,IC,0
191,2011-09-01,battle,IC,0
192,2011-09-01,chemical,RS,0
193,2011-09-01,air_strike,RS,0
194,2011-09-01,barrel_bomb,RS,0
195,2011-09-01,massacre,RS,0
196,2011-09-01,shelling,RS,0
197,2011-09-01,battle,RS,0
198,2011-09-01,chemical,YPG,0
199,2011-09-01,air_strike,YPG,0
200,2011-09-01,barrel_bomb,YPG,0
201,2011-09-01,massacre,YPG,0
202,2011-09-01,shelling,YPG,0
203,2011-09-01,battle,YPG,0
204,2011-09-01,chemical,HZB,0
205,2011-09-01,air_strike,HZB,0
206,2011-09-01,barrel_bomb,HZB,0
207,2011-09-01,massacre,HZB,0
208,2011-09-01,shelling,HZB,0
209,2011-09-01,battle,HZB,0
210,2011-09-01,chemical,ASS,0
211,2011-09-01,air_strike,ASS,0
212,2011-09-01,barrel_bomb,ASS,0
213,2011-09-01,massacre,ASS,3
214,2011-09-01,shelling,ASS,0
215,2011-09-01,battle,ASS,2
216,2011-10-01,chemical,IS,0
217,2011-10-01,air_strike,IS,0
218,2011-10-01,barrel_bomb,IS,0
219,2011-10-01,massacre,IS,0
220,2011-10-01,shelling,IS,0
221,2011-10-01,battle,IS,0
222,2011-10-01,chemical,IC,0
223,2011-10-01,air_strike,IC,0
224,2011-10-01,barrel_bomb,IC,0
225,2011-10-01,massacre,IC,0
226,2011-10-01,shelling,IC,0
227,2011-10-01,battle,IC,0
228,2011-10-01,chemical,RS,0
229,2011-10-01,air_strike,RS,0
230,2011-10-01,barrel_bomb,RS,0
231,2011-10-01,massacre,RS,0
232,2011-10-01,shelling,RS,0
233,2011-10-01,battle,RS,0
234,2011-10-01,chemical,YPG,0
235,2011-10-01,air_strike,YPG,0
236,2011-10-01,barrel_bomb,YPG,0
237,2011-10-01,massacre,YPG,0
238,2011-10-01,shelling,YPG,0
239,2011-10-01,battle,YPG,0
240,2011-10-01,chemical,HZB,0
241,2011-10-01,air_strike,HZB,0
242,2011-10-01,barrel_bomb,HZB,0
243,2011-10-01,massacre,HZB,0
244,2011-10-01,shelling,HZB,0
245,2011-10-01,battle,HZB,0
246,2011-10-01,chemical,ASS,0
247,2011-10-01,air_strike,ASS,0
248,2011-10-01,barrel_bomb,ASS,0
249,2011-10-01,massacre,ASS,13
250,2011-10-01,shelling,ASS,2
251,2011-10-01,battle,ASS,9
252,2011-11-01,chemical,IS,0
253,2011-11-01,air_strike,IS,0
254,2011-11-01,barrel_bomb,IS,0
255,2011-11-01,massacre,IS,0
256,2011-11-01,shelling,IS,0
257,2011-11-01,battle,IS,0
258,2011-11-01,chemical,IC,0
259,2011-11-01,air_strike,IC,0
260,2011-11-01,barrel_bomb,IC,0
261,2011-11-01,massacre,IC,0
262,2011-11-01,shelling,IC,0
263,2011-11-01,battle,IC,0
264,2011-11-01,chemical,RS,0
265,2011-11-01,air_strike,RS,0
266,2011-11-01,barrel_bomb,RS,0
267,2011-11-01,massacre,RS,0
268,2011-11-01,shelling,RS,0
269,2011-11-01,battle,RS,0
270,2011-11-01,chemical,YPG,0
271,2011-11-01,air_strike,YPG,0
272,2011-11-01,barrel_bomb,YPG,0
273,2011-11-01,massacre,YPG,0
274,2011-11-01,shelling,YPG,0
275,2011-11-01,battle,YPG,0
276,2011-11-01,chemical,HZB,0
277,2011-11-01,air_strike,HZB,0
278,2011-11-01,barrel_bomb,HZB,0
279,2011-11-01,massacre,HZB,0
280,2011-11-01,shelling,HZB,0
281,2011-11-01,battle,HZB,0
282,2011-11-01,chemical,ASS,0
283,2011-11-01,air_strike,ASS,1
284,2011-11-01,barrel_bomb,ASS,0
285,2011-11-01,massacre,ASS,2
286,2011-11-01,shelling,ASS,1
287,2011-11-01,battle,ASS,2
288,2011-12-01,chemical,IS,0
289,2011-12-01,air_strike,IS,0
290,2011-12-01,barrel_bomb,IS,0
291,2011-12-01,massacre,IS,0
292,2011-12-01,shelling,IS,0
293,2011-12-01,battle,IS,0
294,2011-12-01,chemical,IC,0
295,2011-12-01,air_strike,IC,0
296,2011-12-01,barrel_bomb,IC,0
297,2011-12-01,massacre,IC,0
298,2011-12-01,shelling,IC,0
299,2011-12-01,battle,IC,0
300,2011-12-01,chemical,RS,0
301,2011-12-01,air_strike,RS,0
302,2011-12-01,barrel_bomb,RS,0
303,2011-12-01,massacre,RS,0
304,2011-12-01,shelling,RS,0
305,2011-12-01,battle,RS,0
306,2011-12-01,chemical,YPG,0
307,2011-12-01,air_strike,YPG,0
308,2011-12-01,barrel_bomb,YPG,0
309,2011-12-01,massacre,YPG,0
310,2011-12-01,shelling,YPG,0
311,2011-12-01,battle,YPG,0
312,2011-12-01,chemical,HZB,0
313,2011-12-01,air_strike,HZB,0
314,2011-12-01,barrel_bomb,HZB,0
315,2011-12-01,massacre,HZB,0
316,2011-12-01,shelling,HZB,0
317,2011-12-01,battle,HZB,0
318,2011-12-01,chemical,ASS,0
319,2011-12-01,air_strike,ASS,0
320,2011-12-01,barrel_bomb,ASS,0
321,2011-12-01,massacre,ASS,2
322,2011-12-01,shelling,ASS,0
323,2011-12-01,battle,ASS,7
324,2012-01-01,chemical,IS,0
325,2012-01-01,air_strike,IS,0
326,2012-01-01,barrel_bomb,IS,0
327,2012-01-01,massacre,IS,0
328,2012-01-01,shelling,IS,0
329,2012-01-01,battle,IS,0
330,2012-01-01,chemical,IC,0
331,2012-01-01,air_strike,IC,0
332,2012-01-01,barrel_bomb,IC,0
333,2012-01-01,massacre,IC,0
334,2012-01-01,shelling,IC,0
335,2012-01-01,battle,IC,0
336,2012-01-01,chemical,RS,0
337,2012-01-01,air_strike,RS,0
338,2012-01-01,barrel_bomb,RS,0
339,2012-01-01,massacre,RS,0
340,2012-01-01,shelling,RS,0
341,2012-01-01,battle,RS,0
342,2012-01-01,chemical,YPG,0
343,2012-01-01,air_strike,YPG,0
344,2012-01-01,barrel_bomb,YPG,0
345,2012-01-01,massacre,YPG,0
346,2012-01-01,shelling,YPG,0
347,2012-01-01,battle,YPG,0
348,2012-01-01,chemical,HZB,0
349,2012-01-01,air_strike,HZB,0
350,2012-01-01,barrel_bomb,HZB,0
351,2012-01-01,massacre,HZB,0
352,2012-01-01,shelling,HZB,0
353,2012-01-01,battle,HZB,0
354,2012-01-01,chemical,ASS,0
355,2012-01-01,air_strike,ASS,0
356,2012-01-01,barrel_bomb,ASS,0
357,2012-01-01,massacre,ASS,16
358,2012-01-01,shelling,ASS,6
359,2012-01-01,battle,ASS,3
360,2012-02-01,chemical,IS,0
361,2012-02-01,air_strike,IS,0
362,2012-02-01,barrel_bomb,IS,0
363,2012-02-01,massacre,IS,0
364,2012-02-01,shelling,IS,0
365,2012-02-01,battle,IS,0
366,2012-02-01,chemical,IC,0
367,2012-02-01,air_strike,IC,0
368,2012-02-01,barrel_bomb,IC,0
369,2012-02-01,massacre,IC,0
370,2012-02-01,shelling,IC,0
371,2012-02-01,battle,IC,0
372,2012-02-01,chemical,RS,0
373,2012-02-01,air_strike,RS,0
374,2012-02-01,barrel_bomb,RS,0
375,2012-02-01,massacre,RS,12
376,2012-02-01,shelling,RS,2
377,2012-02-01,battle,RS,39
378,2012-02-01,chemical,YPG,0
379,2012-02-01,air_strike,YPG,0
380,2012-02-01,barrel_bomb,YPG,0
381,2012-02-01,massacre,YPG,0
382,2012-02-01,shelling,YPG,0
383,2012-02-01,battle,YPG,0
384,2012-02-01,chemical,HZB,0
385,2012-02-01,air_strike,HZB,0
386,2012-02-01,barrel_bomb,HZB,0
387,2012-02-01,massacre,HZB,0
388,2012-02-01,shelling,HZB,0
389,2012-02-01,battle,HZB,0
390,2012-02-01,chemical,ASS,0
391,2012-02-01,air_strike,ASS,0
392,2012-02-01,barrel_bomb,ASS,0
393,2012-02-01,massacre,ASS,74
394,2012-02-01,shelling,ASS,15
395,2012-02-01,battle,ASS,23
396,2012-03-01,chemical,IS,0
397,2012-03-01,air_strike,IS,0
398,2012-03-01,barrel_bomb,IS,0
399,2012-03-01,massacre,IS,0
400,2012-03-01,shelling,IS,0
401,2012-03-01,battle,IS,0
402,2012-03-01,chemical,IC,0
403,2012-03-01,air_strike,IC,0
404,2012-03-01,barrel_bomb,IC,0
405,2012-03-01,massacre,IC,0
406,2012-03-01,shelling,IC,0
407,2012-03-01,battle,IC,0
408,2012-03-01,chemical,RS,0
409,2012-03-01,air_strike,RS,0
410,2012-03-01,barrel_bomb,RS,0
411,2012-03-01,massacre,RS,2
412,2012-03-01,shelling,RS,0
413,2012-03-01,battle,RS,0
414,2012-03-01,chemical,YPG,0
415,2012-03-01,air_strike,YPG,0
416,2012-03-01,barrel_bomb,YPG,0
417,2012-03-01,massacre,YPG,0
418,2012-03-01,shelling,YPG,0
419,2012-03-01,battle,YPG,0
420,2012-03-01,chemical,HZB,0
421,2012-03-01,air_strike,HZB,0
422,2012-03-01,barrel_bomb,HZB,0
423,2012-03-01,massacre,HZB,0
424,2012-03-01,shelling,HZB,0
425,2012-03-01,battle,HZB,0
426,2012-03-01,chemical,ASS,0
427,2012-03-01,air_strike,ASS,0
428,2012-03-01,barrel_bomb,ASS,0
429,2012-03-01,massacre,ASS,35
430,2012-03-01,shelling,ASS,7
431,2012-03-01,battle,ASS,9
432,2012-04-01,chemical,IS,0
433,2012-04-01,air_strike,IS,0
434,2012-04-01,barrel_bomb,IS,0
