"","date","event_type","value"
"190","2012-01-01","barrel_bomb",0
"191","2012-02-01","barrel_bomb",0
"192","2012-03-01","barrel_bomb",0
"193","2012-04-01","barrel_bomb",0
"194","2012-05-01","barrel_bomb",0
"195","2012-06-01","barrel_bomb",0
"196","2012-07-01","barrel_bomb",2
"197","2012-08-01","barrel_bomb",1
"198","2012-09-01","barrel_bomb",3
"199","2012-10-01","barrel_bomb",38
"200","2012-11-01","barrel_bomb",5
"201","2012-12-01","barrel_bomb",20
"202","2013-01-01","barrel_bomb",11
"203","2013-02-01","barrel_bomb",4
"204","2013-03-01","barrel_bomb",3
"205","2013-04-01","barrel_bomb",5
"206","2013-05-01","barrel_bomb",3
"207","2013-06-01","barrel_bomb",0
"208","2013-07-01","barrel_bomb",2
"209","2013-08-01","barrel_bomb",2
"210","2013-09-01","barrel_bomb",5
"211","2013-10-01","barrel_bomb",1
"212","2013-11-01","barrel_bomb",0
"213","2013-12-01","barrel_bomb",4
"214","2014-01-01","barrel_bomb",38
"215","2014-02-01","barrel_bomb",60
"216","2014-03-01","barrel_bomb",31
"217","2014-04-01","barrel_bomb",23
"218","2014-05-01","barrel_bomb",45
"219","2014-06-01","barrel_bomb",28
"220","2014-07-01","barrel_bomb",32
"221","2014-08-01","barrel_bomb",7
"222","2014-09-01","barrel_bomb",0
"223","2014-10-01","barrel_bomb",0
"224","2014-11-01","barrel_bomb",2
"225","2014-12-01","barrel_bomb",12
"226","2015-01-01","barrel_bomb",28
"227","2015-02-01","barrel_bomb",37
"228","2015-03-01","barrel_bomb",43
"229","2015-04-01","barrel_bomb",85
"230","2015-05-01","barrel_bomb",103
"231","2015-06-01","barrel_bomb",74
"232","2015-07-01","barrel_bomb",80
"233","2015-08-01","barrel_bomb",26
"234","2015-09-01","barrel_bomb",2
"235","2015-10-01","barrel_bomb",3
"236","2015-11-01","barrel_bomb",4
"237","2015-12-01","barrel_bomb",5
"238","2016-01-01","barrel_bomb",4
"239","2016-02-01","barrel_bomb",7
"240","2016-03-01","barrel_bomb",4
"241","2011-04-01","shelling",2
"242","2011-05-01","shelling",3
"243","2011-06-01","shelling",2
"244","2011-07-01","shelling",3
"245","2011-08-01","shelling",19
"246","2011-09-01","shelling",3
"247","2011-10-01","shelling",51
"248","2011-11-01","shelling",4
"249","2011-12-01","shelling",10
"250","2012-01-01","shelling",44
"251","2012-02-01","shelling",212
"252","2012-03-01","shelling",133
"253","2012-04-01","shelling",23
"254","2012-05-01","shelling",12
"255","2012-06-01","shelling",421
"256","2012-07-01","shelling",755
"257","2012-08-01","shelling",974
"258","2012-09-01","shelling",1279
"259","2012-10-01","shelling",1379
"260","2012-11-01","shelling",1472
"261","2012-12-01","shelling",1561
"262","2013-01-01","shelling",1126
"263","2013-02-01","shelling",846
"264","2013-03-01","shelling",595
"265","2013-04-01","shelling",799
"266","2013-05-01","shelling",413
"267","2013-06-01","shelling",612
"268","2013-07-01","shelling",88
"269","2013-08-01","shelling",67
"270","2013-09-01","shelling",146
"271","2013-10-01","shelling",72
"272","2013-11-01","shelling",66
"273","2013-12-01","shelling",40
"274","2014-01-01","shelling",110
"275","2014-02-01","shelling",116
"276","2014-03-01","shelling",156
"277","2014-04-01","shelling",173
"278","2014-05-01","shelling",126
"279","2014-06-01","shelling",92
"280","2014-07-01","shelling",92
"281","2014-08-01","shelling",50
"282","2014-09-01","shelling",0
"283","2014-10-01","shelling",0
"284","2014-11-01","shelling",8
"285","2014-12-01","shelling",33
"286","2015-01-01","shelling",83
"287","2015-02-01","shelling",67
"288","2015-03-01","shelling",77
"289","2015-04-01","shelling",114
"290","2015-05-01","shelling",65
"291","2015-06-01","shelling",65
"292","2015-07-01","shelling",65
"293","2015-08-01","shelling",46
"294","2015-09-01","shelling",8
"295","2015-10-01","shelling",1
"296","2015-11-01","shelling",5
"297","2015-12-01","shelling",2
"298","2016-01-01","shelling",1
"299","2016-02-01","shelling",8
"300","2016-03-01","shelling",2
"301","2011-04-01","chemical",0
"302","2011-05-01","chemical",0
"303","2011-06-01","chemical",0
"304","2011-07-01","chemical",0
"305","2011-08-01","chemical",0
"306","2011-09-01","chemical",1
"307","2011-10-01","chemical",0
"308","2011-11-01","chemical",0
"309","2011-12-01","chemical",0
"310","2012-01-01","chemical",0
"311","2012-02-01","chemical",0
"312","2012-03-01","chemical",0
"313","2012-04-01","chemical",0
"314","2012-05-01","chemical",0
"315","2012-06-01","chemical",0
"316","2012-07-01","chemical",1
"317","2012-08-01","chemical",1
"318","2012-09-01","chemical",0
"319","2012-10-01","chemical",0
"320","2012-11-01","chemical",1
"321","2012-12-01","chemical",9
"322","2013-01-01","chemical",3
"323","2013-02-01","chemical",3
"324","2013-03-01","chemical",14
"325","2013-04-01","chemical",24
"326","2013-05-01","chemical",20
"327","2013-06-01","chemical",26
"328","2013-07-01","chemical",16
"329","2013-08-01","chemical",89
"330","2013-09-01","chemical",49
"331","2013-10-01","chemical",3
"332","2013-11-01","chemical",0
"333","2013-12-01","chemical",4
"334","2014-01-01","chemical",6
"335","2014-02-01","chemical",0
"336","2014-03-01","chemical",7
"337","2014-04-01","chemical",5
"338","2014-05-01","chemical",3
"339","2014-06-01","chemical",1
"340","2014-07-01","chemical",0
"341","2014-08-01","chemical",0
"342","2014-09-01","chemical",0
"343","2014-10-01","chemical",0
"344","2014-11-01","chemical",0
"345","2014-12-01","chemical",0
"346","2015-01-01","chemical",0
"347","2015-02-01","chemical",0
"348","2015-03-01","chemical",23
"349","2015-04-01","chemical",13
"350","2015-05-01","chemical",2
"351","2015-06-01","chemical",1
"352","2015-07-01","chemical",0
"353","2015-08-01","chemical",12
"354","2015-09-01","chemical",1
"355","2015-10-01","chemical",0
"356","2015-11-01","chemical",0
"357","2015-12-01","chemical",0
"358","2016-01-01","chemical",0
"359","2016-02-01","chemical",2
"360","2016-03-01","chemical",2
